Year,Month,Day,Total Renewable Energy,Sector,Data Time
1973,1,25,0.57,Commerical,1973-01-25
1973,2,25,0.515,Commerical,1973-02-25
1973,3,25,0.57,Commerical,1973-03-25
1973,4,25,0.551,Commerical,1973-04-25
1973,5,25,0.57,Commerical,1973-05-25
1973,6,25,0.551,Commerical,1973-06-25
1973,7,25,0.57,Commerical,1973-07-25
1973,8,25,0.57,Commerical,1973-08-25
1973,9,25,0.551,Commerical,1973-09-25
1973,10,25,0.57,Commerical,1973-10-25
1973,11,25,0.551,Commerical,1973-11-25
1973,12,25,0.57,Commerical,1973-12-25
1974,1,25,0.596,Commerical,1974-01-25
1974,2,25,0.538,Commerical,1974-02-25
1974,3,25,0.596,Commerical,1974-03-25
1974,4,25,0.577,Commerical,1974-04-25
1974,5,25,0.596,Commerical,1974-05-25
1974,6,25,0.577,Commerical,1974-06-25
1974,7,25,0.596,Commerical,1974-07-25
1974,8,25,0.596,Commerical,1974-08-25
1974,9,25,0.577,Commerical,1974-09-25
1974,10,25,0.596,Commerical,1974-10-25
1974,11,25,0.577,Commerical,1974-11-25
1974,12,25,0.596,Commerical,1974-12-25
1975,1,25,0.685,Commerical,1975-01-25
1975,2,25,0.619,Commerical,1975-02-25
1975,3,25,0.685,Commerical,1975-03-25
1975,4,25,0.663,Commerical,1975-04-25
1975,5,25,0.685,Commerical,1975-05-25
1975,6,25,0.663,Commerical,1975-06-25
1975,7,25,0.685,Commerical,1975-07-25
1975,8,25,0.685,Commerical,1975-08-25
1975,9,25,0.663,Commerical,1975-09-25
1975,10,25,0.685,Commerical,1975-10-25
1975,11,25,0.663,Commerical,1975-11-25
1975,12,25,0.685,Commerical,1975-12-25
1976,1,25,0.771,Commerical,1976-01-25
1976,2,25,0.721,Commerical,1976-02-25
1976,3,25,0.771,Commerical,1976-03-25
1976,4,25,0.746,Commerical,1976-04-25
1976,5,25,0.771,Commerical,1976-05-25
1976,6,25,0.746,Commerical,1976-06-25
1976,7,25,0.771,Commerical,1976-07-25
1976,8,25,0.771,Commerical,1976-08-25
1976,9,25,0.746,Commerical,1976-09-25
1976,10,25,0.771,Commerical,1976-10-25
1976,11,25,0.746,Commerical,1976-11-25
1976,12,25,0.771,Commerical,1976-12-25
1977,1,25,0.874,Commerical,1977-01-25
1977,2,25,0.789,Commerical,1977-02-25
1977,3,25,0.874,Commerical,1977-03-25
1977,4,25,0.845,Commerical,1977-04-25
1977,5,25,0.874,Commerical,1977-05-25
1977,6,25,0.845,Commerical,1977-06-25
1977,7,25,0.874,Commerical,1977-07-25
1977,8,25,0.874,Commerical,1977-08-25
1977,9,25,0.845,Commerical,1977-09-25
1977,10,25,0.874,Commerical,1977-10-25
1977,11,25,0.845,Commerical,1977-11-25
1977,12,25,0.874,Commerical,1977-12-25
1978,1,25,1.005,Commerical,1978-01-25
1978,2,25,0.908,Commerical,1978-02-25
1978,3,25,1.005,Commerical,1978-03-25
1978,4,25,0.973,Commerical,1978-04-25
1978,5,25,1.005,Commerical,1978-05-25
1978,6,25,0.973,Commerical,1978-06-25
1978,7,25,1.005,Commerical,1978-07-25
1978,8,25,1.005,Commerical,1978-08-25
1978,9,25,0.973,Commerical,1978-09-25
1978,10,25,1.005,Commerical,1978-10-25
1978,11,25,0.973,Commerical,1978-11-25
1978,12,25,1.005,Commerical,1978-12-25
1979,1,25,1.173,Commerical,1979-01-25
1979,2,25,1.06,Commerical,1979-02-25
1979,3,25,1.173,Commerical,1979-03-25
1979,4,25,1.135,Commerical,1979-04-25
1979,5,25,1.173,Commerical,1979-05-25
1979,6,25,1.135,Commerical,1979-06-25
1979,7,25,1.173,Commerical,1979-07-25
1979,8,25,1.173,Commerical,1979-08-25
1979,9,25,1.135,Commerical,1979-09-25
1979,10,25,1.173,Commerical,1979-10-25
1979,11,25,1.135,Commerical,1979-11-25
1979,12,25,1.173,Commerical,1979-12-25
1980,1,25,1.779,Commerical,1980-01-25
1980,2,25,1.664,Commerical,1980-02-25
1980,3,25,1.779,Commerical,1980-03-25
1980,4,25,1.721,Commerical,1980-04-25
1980,5,25,1.779,Commerical,1980-05-25
1980,6,25,1.721,Commerical,1980-06-25
1980,7,25,1.779,Commerical,1980-07-25
1980,8,25,1.779,Commerical,1980-08-25
1980,9,25,1.721,Commerical,1980-09-25
1980,10,25,1.779,Commerical,1980-10-25
1980,11,25,1.721,Commerical,1980-11-25
1980,12,25,1.779,Commerical,1980-12-25
1981,1,25,1.788,Commerical,1981-01-25
1981,2,25,1.615,Commerical,1981-02-25
1981,3,25,1.788,Commerical,1981-03-25
1981,4,25,1.73,Commerical,1981-04-25
1981,5,25,1.788,Commerical,1981-05-25
1981,6,25,1.73,Commerical,1981-06-25
1981,7,25,1.788,Commerical,1981-07-25
1981,8,25,1.788,Commerical,1981-08-25
1981,9,25,1.73,Commerical,1981-09-25
1981,10,25,1.788,Commerical,1981-10-25
1981,11,25,1.73,Commerical,1981-11-25
1981,12,25,1.788,Commerical,1981-12-25
1982,1,25,1.88,Commerical,1982-01-25
1982,2,25,1.698,Commerical,1982-02-25
1982,3,25,1.88,Commerical,1982-03-25
1982,4,25,1.819,Commerical,1982-04-25
1982,5,25,1.88,Commerical,1982-05-25
1982,6,25,1.819,Commerical,1982-06-25
1982,7,25,1.88,Commerical,1982-07-25
1982,8,25,1.88,Commerical,1982-08-25
1982,9,25,1.819,Commerical,1982-09-25
1982,10,25,1.88,Commerical,1982-10-25
1982,11,25,1.819,Commerical,1982-11-25
1982,12,25,1.88,Commerical,1982-12-25
1983,1,25,1.892,Commerical,1983-01-25
1983,2,25,1.709,Commerical,1983-02-25
1983,3,25,1.892,Commerical,1983-03-25
1983,4,25,1.831,Commerical,1983-04-25
1983,5,25,1.892,Commerical,1983-05-25
1983,6,25,1.831,Commerical,1983-06-25
1983,7,25,1.892,Commerical,1983-07-25
1983,8,25,1.892,Commerical,1983-08-25
1983,9,25,1.831,Commerical,1983-09-25
1983,10,25,1.892,Commerical,1983-10-25
1983,11,25,1.831,Commerical,1983-11-25
1983,12,25,1.892,Commerical,1983-12-25
1984,1,25,1.893,Commerical,1984-01-25
1984,2,25,1.771,Commerical,1984-02-25
1984,3,25,1.893,Commerical,1984-03-25
1984,4,25,1.832,Commerical,1984-04-25
1984,5,25,1.893,Commerical,1984-05-25
1984,6,25,1.832,Commerical,1984-06-25
1984,7,25,1.893,Commerical,1984-07-25
1984,8,25,1.893,Commerical,1984-08-25
1984,9,25,1.832,Commerical,1984-09-25
1984,10,25,1.893,Commerical,1984-10-25
1984,11,25,1.832,Commerical,1984-11-25
1984,12,25,1.893,Commerical,1984-12-25
1985,1,25,2.07,Commerical,1985-01-25
1985,2,25,1.87,Commerical,1985-02-25
1985,3,25,2.07,Commerical,1985-03-25
1985,4,25,2.003,Commerical,1985-04-25
1985,5,25,2.07,Commerical,1985-05-25
1985,6,25,2.003,Commerical,1985-06-25
1985,7,25,2.07,Commerical,1985-07-25
1985,8,25,2.07,Commerical,1985-08-25
1985,9,25,2.003,Commerical,1985-09-25
1985,10,25,2.07,Commerical,1985-10-25
1985,11,25,2.003,Commerical,1985-11-25
1985,12,25,2.07,Commerical,1985-12-25
1986,1,25,2.333,Commerical,1986-01-25
1986,2,25,2.107,Commerical,1986-02-25
1986,3,25,2.333,Commerical,1986-03-25
1986,4,25,2.257,Commerical,1986-04-25
1986,5,25,2.333,Commerical,1986-05-25
1986,6,25,2.257,Commerical,1986-06-25
1986,7,25,2.333,Commerical,1986-07-25
1986,8,25,2.333,Commerical,1986-08-25
1986,9,25,2.257,Commerical,1986-09-25
1986,10,25,2.333,Commerical,1986-10-25
1986,11,25,2.257,Commerical,1986-11-25
1986,12,25,2.333,Commerical,1986-12-25
1987,1,25,2.509,Commerical,1987-01-25
1987,2,25,2.266,Commerical,1987-02-25
1987,3,25,2.509,Commerical,1987-03-25
1987,4,25,2.428,Commerical,1987-04-25
1987,5,25,2.509,Commerical,1987-05-25
