Year,Month,Day,Total Renewable Energy,Sector,Data Time
1973,1,25,89.223,Electric Power,1973-01-25
1973,2,25,79.331,Electric Power,1973-02-25
1973,3,25,88.046,Electric Power,1973-03-25
1973,4,25,82.917,Electric Power,1973-04-25
1973,5,25,85.357,Electric Power,1973-05-25
1973,6,25,81.835,Electric Power,1973-06-25
1973,7,25,77.317,Electric Power,1973-07-25
1973,8,25,72.98,Electric Power,1973-08-25
1973,9,25,59.14,Electric Power,1973-09-25
1973,10,25,63.106,Electric Power,1973-10-25
1973,11,25,69.053,Electric Power,1973-11-25
1973,12,25,90.161,Electric Power,1973-12-25
1974,1,25,99.441,Electric Power,1974-01-25
1974,2,25,91.341,Electric Power,1974-02-25
1974,3,25,94.837,Electric Power,1974-03-25
1974,4,25,95.894,Electric Power,1974-04-25
1974,5,25,96.226,Electric Power,1974-05-25
1974,6,25,91.69,Electric Power,1974-06-25
1974,7,25,90.494,Electric Power,1974-07-25
1974,8,25,82.834,Electric Power,1974-08-25
1974,9,25,73.787,Electric Power,1974-09-25
1974,10,25,69.027,Electric Power,1974-10-25
1974,11,25,72.963,Electric Power,1974-11-25
1974,12,25,79.573,Electric Power,1974-12-25
1975,1,25,86.181,Electric Power,1975-01-25
1975,2,25,82.284,Electric Power,1975-02-25
1975,3,25,96.311,Electric Power,1975-03-25
1975,4,25,91.709,Electric Power,1975-04-25
1975,5,25,95.552,Electric Power,1975-05-25
1975,6,25,93.839,Electric Power,1975-06-25
1975,7,25,88.26,Electric Power,1975-07-25
1975,8,25,78.452,Electric Power,1975-08-25
1975,9,25,71.17,Electric Power,1975-09-25
1975,10,25,78.552,Electric Power,1975-10-25
1975,11,25,84.597,Electric Power,1975-11-25
1975,12,25,89.916,Electric Power,1975-12-25
1976,1,25,90.232,Electric Power,1976-01-25
1976,2,25,84.872,Electric Power,1976-02-25
1976,3,25,91.922,Electric Power,1976-03-25
1976,4,25,83.519,Electric Power,1976-04-25
1976,5,25,88.19,Electric Power,1976-05-25
1976,6,25,88.419,Electric Power,1976-06-25
1976,7,25,90.219,Electric Power,1976-07-25
1976,8,25,82.646,Electric Power,1976-08-25
1976,9,25,70.761,Electric Power,1976-09-25
1976,10,25,73.032,Electric Power,1976-10-25
1976,11,25,68.862,Electric Power,1976-11-25
1976,12,25,70.439,Electric Power,1976-12-25
1977,1,25,72.201,Electric Power,1977-01-25
1977,2,25,53.152,Electric Power,1977-02-25
1977,3,25,69.117,Electric Power,1977-03-25
1977,4,25,65.018,Electric Power,1977-04-25
1977,5,25,65.213,Electric Power,1977-05-25
1977,6,25,60.236,Electric Power,1977-06-25
1977,7,25,58.579,Electric Power,1977-07-25
1977,8,25,58.357,Electric Power,1977-08-25
