Year,Month,Day,Total Renewable Energy,Sector,Data Time
1973,1,25,99.973,Industrial,1973-01-25
1973,2,25,90.32,Industrial,1973-02-25
1973,3,25,99.997,Industrial,1973-03-25
1973,4,25,96.758,Industrial,1973-04-25
1973,5,25,99.981,Industrial,1973-05-25
1973,6,25,96.759,Industrial,1973-06-25
1973,7,25,99.839,Industrial,1973-07-25
1973,8,25,99.808,Industrial,1973-08-25
1973,9,25,96.505,Industrial,1973-09-25
1973,10,25,99.765,Industrial,1973-10-25
1973,11,25,96.618,Industrial,1973-11-25
1973,12,25,99.951,Industrial,1973-12-25
1974,1,25,99.467,Industrial,1974-01-25
1974,2,25,89.852,Industrial,1974-02-25
1974,3,25,99.446,Industrial,1974-03-25
1974,4,25,96.258,Industrial,1974-04-25
1974,5,25,99.465,Industrial,1974-05-25
1974,6,25,96.219,Industrial,1974-06-25
1974,7,25,99.313,Industrial,1974-07-25
1974,8,25,99.261,Industrial,1974-08-25
1974,9,25,96.047,Industrial,1974-09-25
1974,10,25,99.184,Industrial,1974-10-25
1974,11,25,96.039,Industrial,1974-11-25
1974,12,25,99.371,Industrial,1974-12-25
1975,1,25,91.322,Industrial,1975-01-25
1975,2,25,82.471,Industrial,1975-02-25
1975,3,25,91.257,Industrial,1975-03-25
1975,4,25,88.341,Industrial,1975-04-25
1975,5,25,91.328,Industrial,1975-05-25
1975,6,25,88.331,Industrial,1975-06-25
1975,7,25,91.126,Industrial,1975-07-25
1975,8,25,91.044,Industrial,1975-08-25
1975,9,25,88.136,Industrial,1975-09-25
1975,10,25,91.121,Industrial,1975-10-25
1975,11,25,88.21,Industrial,1975-11-25
1975,12,25,91.18,Industrial,1975-12-25
1976,1,25,104.277,Industrial,1976-01-25
1976,2,25,97.619,Industrial,1976-02-25
1976,3,25,104.32,Industrial,1976-03-25
1976,4,25,101.013,Industrial,1976-04-25
1976,5,25,104.327,Industrial,1976-05-25
1976,6,25,100.952,Industrial,1976-06-25
1976,7,25,104.2,Industrial,1976-07-25
1976,8,25,104.125,Industrial,1976-08-25
1976,9,25,100.68,Industrial,1976-09-25
1976,10,25,104.222,Industrial,1976-10-25
1976,11,25,100.882,Industrial,1976-11-25
1976,12,25,104.235,Industrial,1976-12-25
1977,1,25,109.819,Industrial,1977-01-25
1977,2,25,99.02,Industrial,1977-02-25
1977,3,25,109.775,Industrial,1977-03-25
1977,4,25,106.209,Industrial,1977-04-25
1977,5,25,109.721,Industrial,1977-05-25
1977,6,25,106.141,Industrial,1977-06-25
1977,7,25,109.63,Industrial,1977-07-25
1977,8,25,109.626,Industrial,1977-08-25
1977,9,25,106.102,Industrial,1977-09-25
1977,10,25,109.649,Industrial,1977-10-25
1977,11,25,106.294,Industrial,1977-11-25
1977,12,25,109.918,Industrial,1977-12-25
1978,1,25,119.869,Industrial,1978-01-25
1978,2,25,108.253,Industrial,1978-02-25
1978,3,25,119.853,Industrial,1978-03-25
1978,4,25,116.041,Industrial,1978-04-25
1978,5,25,120.006,Industrial,1978-05-25
1978,6,25,116.034,Industrial,1978-06-25
1978,7,25,119.846,Industrial,1978-07-25
1978,8,25,119.762,Industrial,1978-08-25
1978,9,25,115.888,Industrial,1978-09-25
1978,10,25,119.662,Industrial,1978-10-25
