Year,Month,Day,Total Renewable Energy,Data Time
1973,1,26,219.84,1973-01-26
1973,2,26,197.33,1973-02-26
1973,3,26,218.687,1973-03-26
1973,4,26,209.33,1973-04-26
1973,5,26,215.982,1973-05-26
1973,6,26,208.249,1973-06-26
1973,7,26,207.8,1973-07-26
1973,8,26,203.432,1973-08-26
1973,9,26,185.3,1973-09-26
1973,10,26,193.515,1973-10-26
1973,11,26,195.326,1973-11-26
1973,12,26,220.756,1973-12-26
1974,1,26,231.01,1974-01-26
1974,2,26,210.188,1974-02-26
1974,3,26,226.385,1974-03-26
1974,4,26,223.218,1974-04-26
1974,5,26,227.793,1974-05-26
1974,6,26,218.975,1974-06-26
1974,7,26,221.909,1974-07-26
1974,8,26,214.197,1974-08-26
1974,9,26,200.9,1974-09-26
1974,10,26,200.313,1974-10-26
1974,11,26,200.068,1974-11-26
1974,12,26,211.046,1974-12-26
1975,1,26,214.319,1975-01-26
1975,2,26,198.008,1975-02-26
1975,3,26,224.384,1975-03-26
1975,4,26,215.678,1975-04-26
1975,5,26,223.696,1975-05-26
1975,6,26,217.798,1975-06-26
1975,7,26,216.202,1975-07-26
1975,8,26,206.312,1975-08-26
1975,9,26,194.934,1975-09-26
1975,10,26,206.489,1975-10-26
1975,11,26,208.435,1975-11-26
1975,12,26,217.912,1975-12-26
1976,1,26,236.074,1976-01-26
1976,2,26,221.374,1976-02-26
1976,3,26,237.807,1976-03-26
1976,4,26,224.756,1976-04-26
1976,5,26,234.082,1976-05-26
1976,6,26,229.595,1976-06-26
1976,7,26,235.984,1976-07-26
1976,8,26,228.336,1976-08-26
1976,9,26,211.665,1976-09-26
1976,10,26,218.819,1976-10-26
1976,11,26,209.968,1976-11-26
1976,12,26,216.239,1976-12-26
1977,1,26,228.908,1977-01-26
1977,2,26,194.522,1977-02-26
1977,3,26,225.78,1977-03-26
1977,4,26,216.602,1977-04-26
1977,5,26,221.822,1977-05-26
1977,6,26,211.752,1977-06-26
1977,7,26,215.097,1977-07-26
1977,8,26,214.871,1977-08-26
1977,9,26,208.973,1977-09-26
1977,10,26,216.727,1977-10-26
1977,11,26,222.662,1977-11-26
1977,12,26,235.754,1977-12-26
1978,1,26,260.677,1978-01-26
1978,2,26,233.932,1978-02-26
1978,3,26,258.864,1978-03-26
1978,4,26,255.285,1978-04-26
1978,5,26,272.692,1978-05-26
1978,6,26,254.703,1978-06-26
1978,7,26,258.055,1978-07-26
1978,8,26,250.652,1978-08-26
1978,9,26,241.495,1978-09-26
1978,10,26,241.095,1978-10-26
1978,11,26,237.214,1978-11-26
1978,12,26,250.286,1978-12-26
1979,1,26,270.0,1979-01-26
1979,2,26,239.378,1979-02-26
1979,3,26,273.485,1979-03-26
1979,4,26,265.526,1979-04-26
1979,5,26,283.727,1979-05-26
1979,6,26,264.118,1979-06-26
1979,7,26,262.394,1979-07-26
1979,8,26,257.423,1979-08-26
1979,9,26,243.467,1979-09-26
1979,10,26,253.559,1979-10-26
1979,11,26,255.316,1979-11-26
1979,12,26,262.637,1979-12-26
1980,1,26,298.222,1980-01-26
1980,2,26,271.195,1980-02-26
1980,3,26,294.931,1980-03-26
1980,4,26,293.042,1980-04-26
1980,5,26,310.683,1980-05-26
1980,6,26,299.632,1980-06-26
1980,7,26,295.538,1980-07-26
1980,8,26,281.832,1980-08-26
1980,9,26,268.204,1980-09-26
1980,10,26,273.059,1980-10-26
1980,11,26,270.912,1980-11-26
1980,12,26,288.132,1980-12-26
1981,1,26,298.911,1981-01-26
1981,2,26,273.089,1981-02-26
1981,3,26,292.884,1981-03-26
1981,4,26,286.211,1981-04-26
1981,5,26,304.726,1981-05-26
1981,6,26,305.307,1981-06-26
1981,7,26,308.25,1981-07-26
1981,8,26,296.107,1981-08-26
1981,9,26,276.167,1981-09-26
1981,10,26,284.113,1981-10-26
1981,11,26,279.811,1981-11-26
1981,12,26,303.621,1981-12-26
1982,1,26,318.758,1982-01-26
1982,2,26,296.073,1982-02-26
1982,3,26,328.579,1982-03-26
1982,4,26,314.68,1982-04-26
1982,5,26,322.387,1982-05-26
1982,6,26,315.313,1982-06-26
1982,7,26,320.301,1982-07-26
1982,8,26,308.507,1982-08-26
1982,9,26,287.552,1982-09-26
1982,10,26,294.504,1982-10-26
1982,11,26,299.361,1982-11-26
1982,12,26,321.502,1982-12-26
1983,1,26,346.106,1983-01-26
1983,2,26,317.626,1983-02-26
1983,3,26,349.559,1983-03-26
1983,4,26,340.56,1983-04-26
1983,5,26,352.466,1983-05-26
1983,6,26,343.24,1983-06-26
1983,7,26,342.496,1983-07-26
1983,8,26,335.162,1983-08-26
1983,9,26,312.986,1983-09-26
1983,10,26,317.66,1983-10-26
1983,11,26,323.013,1983-11-26
1983,12,26,354.574,1983-12-26
1984,1,26,352.111,1984-01-26
1984,2,26,329.968,1984-02-26
1984,3,26,355.07,1984-03-26
1984,4,26,345.374,1984-04-26
1984,5,26,359.716,1984-05-26
1984,6,26,341.241,1984-06-26
1984,7,26,344.871,1984-07-26
1984,8,26,337.173,1984-08-26
1984,9,26,314.504,1984-09-26
1984,10,26,322.878,1984-10-26
1984,11,26,319.79,1984-11-26
1984,12,26,340.156,1984-12-26
1985,1,26,349.708,1985-01-26
1985,2,26,319.251,1985-02-26
1985,3,26,339.858,1985-03-26
1985,4,26,330.171,1985-04-26
1985,5,26,345.419,1985-05-26
1985,6,26,328.369,1985-06-26
1985,7,26,328.169,1985-07-26
1985,8,26,323.801,1985-08-26
1985,9,26,311.279,1985-09-26
1985,10,26,323.552,1985-10-26
1985,11,26,326.134,1985-11-26
1985,12,26,342.723,1985-12-26
1986,1,26,321.675,1986-01-26
1986,2,26,303.546,1986-02-26
1986,3,26,345.118,1986-03-26
1986,4,26,333.766,1986-04-26
1986,5,26,340.709,1986-05-26
1986,6,26,329.72,1986-06-26
1986,7,26,330.456,1986-07-26
1986,8,26,320.623,1986-08-26
1986,9,26,311.817,1986-09-26
1986,10,26,320.247,1986-10-26
1986,11,26,318.45,1986-11-26
1986,12,26,336.909,1986-12-26
1987,1,26,329.279,1987-01-26
1987,2,26,291.537,1987-02-26
1987,3,26,321.93,1987-03-26
1987,4,26,309.8,1987-04-26
1987,5,26,325.185,1987-05-26
1987,6,26,306.526,1987-06-26
1987,7,26,311.884,1987-07-26
1987,8,26,305.783,1987-08-26
1987,9,26,296.659,1987-09-26
1987,10,26,303.484,1987-10-26
1987,11,26,292.009,1987-11-26
1987,12,26,314.296,1987-12-26
1988,1,26,328.899,1988-01-26
1988,2,26,302.214,1988-02-26
1988,3,26,320.331,1988-03-26
1988,4,26,310.73,1988-04-26
1988,5,26,325.854,1988-05-26
1988,6,26,310.101,1988-06-26
1988,7,26,311.705,1988-07-26
1988,8,26,310.081,1988-08-26
1988,9,26,300.998,1988-09-26
1988,10,26,305.053,1988-10-26
1988,11,26,308.289,1988-11-26
1988,12,26,321.307,1988-12-26
1989,1,26,342.538,1989-01-26
1989,2,26,312.349,1989-02-26
1989,3,26,352.331,1989-03-26
1989,4,26,340.915,1989-04-26
1989,5,26,344.52,1989-05-26
1989,6,26,344.157,1989-06-26
1989,7,26,345.937,1989-07-26
1989,8,26,352.537,1989-08-26
1989,9,26,335.957,1989-09-26
1989,10,26,350.898,1989-10-26
1989,11,26,354.134,1989-11-26
1989,12,26,361.772,1989-12-26
1990,1,26,324.196,1990-01-26
1990,2,26,316.83,1990-02-26
1990,3,26,348.824,1990-03-26
1990,4,26,329.17,1990-04-26
1990,5,26,312.66,1990-05-26
1990,6,26,284.311,1990-06-26
1990,7,26,310.741,1990-07-26
1990,8,26,327.449,1990-08-26
1990,9,26,306.999,1990-09-26
1990,10,26,307.743,1990-10-26
1990,11,26,296.917,1990-11-26
1990,12,26,336.453,1990-12-26
1991,1,26,364.325,1991-01-26
1991,2,26,287.135,1991-02-26
1991,3,26,311.73,1991-03-26
1991,4,26,287.547,1991-04-26
1991,5,26,314.166,1991-05-26
1991,6,26,307.675,1991-06-26
1991,7,26,303.304,1991-07-26
1991,8,26,334.86,1991-08-26
1991,9,26,339.361,1991-09-26
1991,10,26,318.501,1991-10-26
1991,11,26,312.995,1991-11-26
1991,12,26,349.737,1991-12-26
1992,1,26,359.822,1992-01-26
1992,2,26,299.219,1992-02-26
1992,3,26,304.545,1992-03-26
1992,4,26,285.537,1992-04-26
1992,5,26,275.606,1992-05-26
1992,6,26,317.01,1992-06-26
1992,7,26,326.25,1992-07-26
1992,8,26,340.756,1992-08-26
1992,9,26,317.49,1992-09-26
1992,10,26,333.812,1992-10-26
1992,11,26,338.511,1992-11-26
1992,12,26,353.446,1992-12-26
1993,1,26,365.09,1993-01-26
1993,2,26,315.21,1993-02-26
1993,3,26,351.632,1993-03-26
1993,4,26,322.712,1993-04-26
1993,5,26,305.514,1993-05-26
1993,6,26,296.682,1993-06-26
1993,7,26,302.217,1993-07-26
1993,8,26,339.86,1993-08-26
1993,9,26,317.562,1993-09-26
1993,10,26,323.462,1993-10-26
1993,11,26,330.211,1993-11-26
1993,12,26,343.227,1993-12-26
1994,1,26,379.631,1994-01-26
1994,2,26,316.374,1994-02-26
1994,3,26,345.724,1994-03-26
1994,4,26,325.555,1994-04-26
1994,5,26,295.448,1994-05-26
1994,6,26,305.763,1994-06-26
1994,7,26,358.592,1994-07-26
1994,8,26,325.091,1994-08-26
1994,9,26,298.001,1994-09-26
1994,10,26,334.624,1994-10-26
1994,11,26,328.419,1994-11-26
1994,12,26,338.399,1994-12-26
1995,1,26,326.546,1995-01-26
1995,2,26,290.425,1995-02-26
1995,3,26,336.61,1995-03-26
1995,4,26,351.21,1995-04-26
1995,5,26,324.028,1995-05-26
1995,6,26,332.952,1995-06-26
1995,7,26,392.385,1995-07-26
1995,8,26,391.364,1995-08-26
1995,9,26,341.396,1995-09-26
1995,10,26,375.814,1995-10-26
1995,11,26,357.895,1995-11-26
1995,12,26,363.528,1995-12-26
1996,1,26,376.967,1996-01-26
1996,2,26,336.08,1996-02-26
