Year,Month,Day,Total Renewable Energy,Sector,Data Time
1973,1,25,30.074,Residential,1973-01-25
1973,2,25,27.164,Residential,1973-02-25
1973,3,25,30.074,Residential,1973-03-25
1973,4,25,29.104,Residential,1973-04-25
1973,5,25,30.074,Residential,1973-05-25
1973,6,25,29.104,Residential,1973-06-25
1973,7,25,30.074,Residential,1973-07-25
1973,8,25,30.074,Residential,1973-08-25
1973,9,25,29.104,Residential,1973-09-25
1973,10,25,30.074,Residential,1973-10-25
1973,11,25,29.104,Residential,1973-11-25
1973,12,25,30.074,Residential,1973-12-25
1974,1,25,31.506,Residential,1974-01-25
1974,2,25,28.457,Residential,1974-02-25
1974,3,25,31.506,Residential,1974-03-25
1974,4,25,30.489,Residential,1974-04-25
1974,5,25,31.506,Residential,1974-05-25
1974,6,25,30.489,Residential,1974-06-25
1974,7,25,31.506,Residential,1974-07-25
1974,8,25,31.506,Residential,1974-08-25
1974,9,25,30.489,Residential,1974-09-25
1974,10,25,31.506,Residential,1974-10-25
1974,11,25,30.489,Residential,1974-11-25
1974,12,25,31.506,Residential,1974-12-25
1975,1,25,36.131,Residential,1975-01-25
1975,2,25,32.634,Residential,1975-02-25
1975,3,25,36.131,Residential,1975-03-25
1975,4,25,34.965,Residential,1975-04-25
1975,5,25,36.131,Residential,1975-05-25
1975,6,25,34.965,Residential,1975-06-25
1975,7,25,36.131,Residential,1975-07-25
1975,8,25,36.131,Residential,1975-08-25
1975,9,25,34.965,Residential,1975-09-25
1975,10,25,36.131,Residential,1975-10-25
1975,11,25,34.965,Residential,1975-11-25
1975,12,25,36.131,Residential,1975-12-25
1976,1,25,40.794,Residential,1976-01-25
1976,2,25,38.162,Residential,1976-02-25
1976,3,25,40.794,Residential,1976-03-25
1976,4,25,39.478,Residential,1976-04-25
1976,5,25,40.794,Residential,1976-05-25
1976,6,25,39.478,Residential,1976-06-25
1976,7,25,40.794,Residential,1976-07-25
1976,8,25,40.794,Residential,1976-08-25
1976,9,25,39.478,Residential,1976-09-25
1976,10,25,40.794,Residential,1976-10-25
1976,11,25,39.478,Residential,1976-11-25
1976,12,25,40.794,Residential,1976-12-25
1977,1,25,46.014,Residential,1977-01-25
1977,2,25,41.561,Residential,1977-02-25
1977,3,25,46.014,Residential,1977-03-25
1977,4,25,44.53,Residential,1977-04-25
1977,5,25,46.014,Residential,1977-05-25
1977,6,25,44.53,Residential,1977-06-25
1977,7,25,46.014,Residential,1977-07-25
1977,8,25,46.014,Residential,1977-08-25
1977,9,25,44.53,Residential,1977-09-25
1977,10,25,46.014,Residential,1977-10-25
1977,11,25,44.53,Residential,1977-11-25
1977,12,25,46.014,Residential,1977-12-25
1978,1,25,52.815,Residential,1978-01-25
1978,2,25,47.703,Residential,1978-02-25
1978,3,25,52.815,Residential,1978-03-25
1978,4,25,51.111,Residential,1978-04-25
1978,5,25,52.815,Residential,1978-05-25
1978,6,25,51.111,Residential,1978-06-25
1978,7,25,52.815,Residential,1978-07-25
1978,8,25,52.815,Residential,1978-08-25
1978,9,25,51.111,Residential,1978-09-25
1978,10,25,52.815,Residential,1978-10-25
1978,11,25,51.111,Residential,1978-11-25
1978,12,25,52.815,Residential,1978-12-25
1979,1,25,61.837,Residential,1979-01-25
1979,2,25,55.852,Residential,1979-02-25
1979,3,25,61.837,Residential,1979-03-25
1979,4,25,59.842,Residential,1979-04-25
1979,5,25,61.837,Residential,1979-05-25
1979,6,25,59.842,Residential,1979-06-25
1979,7,25,61.837,Residential,1979-07-25
1979,8,25,61.837,Residential,1979-08-25
1979,9,25,59.842,Residential,1979-09-25
1979,10,25,61.837,Residential,1979-10-25
1979,11,25,59.842,Residential,1979-11-25
1979,12,25,61.837,Residential,1979-12-25
1980,1,25,71.995,Residential,1980-01-25
1980,2,25,67.35,Residential,1980-02-25
1980,3,25,71.995,Residential,1980-03-25
1980,4,25,69.672,Residential,1980-04-25
1980,5,25,71.995,Residential,1980-05-25
1980,6,25,69.672,Residential,1980-06-25
1980,7,25,71.995,Residential,1980-07-25
