Year,Total Renewable Energy,Sector,Data Time
1973,0.000,Transportation,1973-12-12
1974,0.000,Transportation,1974-12-12
1975,0.000,Transportation,1975-12-12
1976,0.000,Transportation,1976-12-12
1977,0.000,Transportation,1977-12-12
1978,0.000,Transportation,1978-12-12
1979,0.000,Transportation,1979-12-12
1980,0.000,Transportation,1980-12-12
1981,0.000,Transportation,1981-12-12
1982,0.000,Transportation,1982-12-12
1983,0.000,Transportation,1983-12-12
1984,0.000,Transportation,1984-12-12
1985,0.000,Transportation,1985-12-12
1986,0.000,Transportation,1986-12-12
1987,0.000,Transportation,1987-12-12
1988,0.000,Transportation,1988-12-12
1989,0.000,Transportation,1989-12-12
1990,0.000,Transportation,1990-12-12
1991,0.000,Transportation,1991-12-12
1992,0.000,Transportation,1992-12-12
1993,0.000,Transportation,1993-12-12
1994,0.000,Transportation,1994-12-12
1995,0.000,Transportation,1995-12-12
1996,0.000,Transportation,1996-12-12
1997,0.000,Transportation,1997-12-12
1998,0.000,Transportation,1998-12-12
1999,0.000,Transportation,1999-12-12
2000,0.000,Transportation,2000-12-12
2001,0.000,Transportation,2001-12-12
2002,0.000,Transportation,2002-12-12
2003,0.000,Transportation,2003-12-12
2004,0.000,Transportation,2004-12-12
2005,0.000,Transportation,2005-12-12
2006,0.000,Transportation,2006-12-12
2007,0.000,Transportation,2007-12-12
2008,0.000,Transportation,2008-12-12
2009,0.000,Transportation,2009-12-12
2010,0.000,Transportation,2010-12-12
2011,0.000,Transportation,2011-12-12
2012,0.000,Transportation,2012-12-12
2013,0.000,Transportation,2013-12-12
2014,0.000,Transportation,2014-12-12
2015,0.000,Transportation,2015-12-12
2016,0.000,Transportation,2016-12-12
2017,0.000,Transportation,2017-12-12
2018,0.000,Transportation,2018-12-12
2019,0.000,Transportation,2019-12-12
2020,0.000,Transportation,2020-12-12
2021,0.000,Transportation,2021-12-12
2022,0.000,Transportation,2022-12-12
2023,0.000,Transportation,2023-12-12
